Timestamp,How many years have you been doing data visualization?,What is your educational background?,How did you learn to create data visualization?,Did you set out to work in data visualization or did you fall into it?,Is this your first job doing data visualization?,What is your official job title?,Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?,What focus is data visualization in your work?,For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,What's your employment status,How is your organization using data visualization?,Is there a separate group that does data visualizations or are you embedded in another group? (data science UX UI web data engineering IT etc),What level of data visualizations are used at your organization?,Are data visualization specialists represented in the leadership of your organization?,Data visualization roles at your organization are found in what part of the organization?,Percent of your day focused on creating/implementing/productizing data visualizations?,Percent of your day focused on data engineering?,Percent of your day focused on data science?,Percent of your day focused on design?,Percent of your day focused on data prep work?,What technologies do you use to visualize data?,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations?,Which of these charts have you used in production in the last 6 months:,Who do you make data visualizations for?,What knowledge level do they have of the data you are visualizing for them?,How often do they consume your data visualizations?,What do they use your data visualizations for?,How would you describe the relationship?,What is your biggest frustration with your job?,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your job what would it be?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don‰Ûªt get about the data visualization work that you do?,What one change would make your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,Gender,Age,Where do you live?,What‰Ûªs your ethnicity?,The organization you work for is in which of the following?
3/1/17 13:46,8,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Scientist,Data Visualization Role has higher compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,Consulting,15,25,50,0,10,Excel;Tableau;Qlik;ggplot;Other R;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Treemap;Dendrogram;Network Diagram;Choropleth Map;Flow Diagram,Engineers;Scientists;Medical Professionals;Executives,Moderate,Monthly,Analysis;Summarization,Consultative,Lack of quality data.,Resolution of the graphic output.,More data!,Spend more time on quality visuals.,That it's an important part of the process- and not always the easiest.,Integrated graphics with native database tools.,The evolution of visualizations in corporate messaging.,Cole Nussbaumer Knaflic,More,male,46 - 55,USA or Canada,white,Private sector
3/2/17 16:28,5,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Solution Advisor ,Data Visualization Role has same compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,Engineering;Marketing;IT,20,20,40,0,20,Excel;Power BI;ggplot,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map;Flow Diagram,Analysts;Engineers;Product Managers;Project Managers;Executives,Moderate,Daily,Analysis;Summarization;Learning;Research,Consultative,Finding time to keep up with the page of change of tools and research,Unclean data,More work time to learn,Always get direct access to data sources rather than to get extracts or have to request subsets from IT.,How much thought goes into creating even a simple visualisation in order to make it useful. ,More time on the job for learning,,Cole Nussbaumer Knaflic,Same,female,36 - 45,Oceania,,Private sector
3/4/17 21:23,7,Bachelors,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Principal / Consultant,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Consultant,,,,,,5,0,0,10,1,Illustrator;Tableau;QGIS;Other Network Visualization Suite,I'm able to choose my own tools.,Static Web Page;Documents;Presentations;Social media,Line Chart;Bar Chart;Pie Chart;Infographics;Network Diagram;Flow Diagram,General Public,Intro;Moderate,Quarterly,Summarization;Learning,Consultative,Want data viz to be a larger part of my job but there is little demand,Educating clients about design process,more appreciative clients,Want to do more- especially so I can get better at design,How much time and intention it takes,More appreciative clients,Communicating about the benefits of data viz- especially for organizations,Cole Nussbaumer Knaflic,More,female,26 - 35,USA or Canada,white,Mixed
3/2/17 9:27,8,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,GIS Specialist,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication,Both,General charting libraries,Don't Know,Research,20,0,0,10,30,Illustrator;Excel;Other Python;ArcGIS;QGIS,I'm able to choose my own tools.,Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Network Diagram;Choropleth Map,General Public;Analysts;Medical Professionals,Moderate,Weekly,Analysis;Summarization;Learning;Research,Collaborative,people don't seem to know what they want until they see it,constantly learning new software/tools,higher pay,,the work that goes into prepping the data,a knowledgeable mentor,,Cole Nussbaumer Knaflic;Gretchen Peterson,More,female,46 - 55,USA or Canada,white,Public sector
2/27/17 12:29,3,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Data Scientist & Visual Storyteller,Data Visualization Role has same compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Marketing;Sales,Embedded in another team,Completely custom,No,Marketing;sales,70,5,10,10,5,D3,I'm able to choose my own tools.,Scrollytelling;Static Web Page,Network Diagram;Choropleth Map;violin plot,General Public;Executives;clients for sales team,Moderate,Quarterly,Entertainment;Summarization;Learning,Collaborative,,We are telling stories that could get published in larger news orgs. I hope to see this content pushed into the public.,"Many people think of me as someone they can ask to ""grab data""; mainly because they don't fully understand what I can do to help them. So I'm creating some scroll stories to show them what I can do.",I'm new to the field and have a lot to learn. I just want to keep my skills sharp enough that people will NOT order visualizations like pizza but view me as someone who can own a project to develop something uniquely and useful. ,They don't understand how custom a visual story can become; however- this team brought me on board because they hope that I can do something unique.,more money. I love my job. They even allow dogs here.,"I'd like to see a ""method"" for developing a data visualization that encourages collaboration. What should we be saying and asking to create a collaborative work space?",D3,Same,male,36 - 45,USA or Canada,,Private sector
2/27/17 12:33,,Masters,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,No,Director of Engineering Visualization,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,Separate data visualization team,Completely custom,Yes,Engineering,45,50,0,5,0,D3;Other Javascript,I'm able to choose my own tools.,Dashboard;Dynamic web pages,Line Chart;Bar Chart;Pie Chart;Treemap;Dendrogram;Network Diagram;circle plot;geo map;scatter plot;path plot,Analysts;Engineers;Scientists;Medical Professionals;Executives;SMEs;data scientists;financial,Intro;Moderate;Expert,,Analysis;Summarization;Learning;Research,Collaborative,Resourcing (we're a startup),Lots of infrastructure to learn / design / maintain / implement,More devs,Getting deeper in to more advanced visualization,We're small- so I'm fine with the level of communication,Getting a series A,I'm keenly interested in machine learning for autonomous visualization. I also want to break out of the idea that visualization is an end product.,D3,Much more,male,46 - 55,USA or Canada,white,Private sector
2/27/17 15:05,4,PhD,Mostly Self-Taught,Intended to work in data visualization,Yes,Senior Data Visualization Developer,Data Visualization Role has same compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,Engineering,10,0,10,60,20,D3;React;Angular,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart;Choropleth Map;Stacked Bar Chart,Analysts;Product Managers;Project Managers;Executives;Freelancing,Intro;Moderate;Expert,Daily,Analysis;Summarization,Subordinate,It is primarily a senior frontend position and I am not spending enough time practicing data viz to become a master. My D3 skills are considerably more valuable to the company then my frontend knowledge- but there is no organizational understanding of data viz and no ability to capitalize on the asset. For freelancing- the frustration is being unknown to potential clients and not having the option to tackle difficult projects.,My company is building a BI tool but they are completely closed to researching/pitching/testing/engineering new visualization types for the product. All of my complex visualization work is done for senior employees and does not scale. We could take a stronger position in the market if we invested in data viz and hired a dedicated team.,To convince senior leadership that data viz is critical to our product.,"Our charts should take better advantage of D3's power and flexibility. I can make anything but we only ""need"" the basics.","They don't understand why anyone would want to do visualization all the time- and they absolutely cannot imagine how data viz could be a source of profit on par with frontend or backend. They also believe that data viz is not a ""real"" software engineering focus that will prepare juniors for architect and management positions.",We should have a small budget for funding research- prototyping- and preliminary user testing of experimental visualizations. A data viz team cannot improve an organization if it's constrained to giving clients what they think they want.,"Everyone- thank you for the informative and inspirational pieces describing our industry. There're an incredible number of articles- interviews- podcasts- and meta-visualizations available to anyone interested in the job. That said- please share your negative or difficult data viz career experiences as well. You can be anonymous! For many data viz practitioners the market is dismissive and ignorant (even hostile) but positivity is the constant byword of the community. Consider a struggling artist or actor; they have access to leagues better advice than ""just work harder and wait for your inevitable big break"". Our beginners do not have a clear career path and it is very easy to lose the plot.",D3,Much more,male,26 - 35,USA or Canada,white,Private sector
3/1/17 23:49,10,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Managing Director,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;Completely custom,No,Marketing;IT,10,10,10,0,5,Excel;Tableau;D3;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Presentations;Email,Line Chart;Bar Chart;Pie Chart;Network Force;Sunburst;WordCloud,Product Managers;Executives,Intro;Moderate;Expert,Daily,Analysis;Summarization,Collaborative,Wish I could spend more time doing viz.,I need to choose a tool between Tableau and D3 (thinking flexibility and maintainability),,D3 would be less complex- more v4 examples,,,,D3;Tableau,More,male,46 - 55,USA or Canada,white,Public sector
3/1/17 11:06,3,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Data Scientist,Data Visualization Role has higher compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,No,Marketing;Research,20,20,30,0,30,Excel;Tableau;Other BI;Leaflet;ggplot;Other R,I'm able to choose my own tools.,Dashboard;Presentations;Email,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Dendrogram;Network Diagram;Choropleth Map,Product Managers;Project Managers;Executives,Moderate,Weekly,Entertainment;Analysis;Summarization;Research,Collaborative,Slow IT change calendar,Not enough sandbox possibilities for trying new tools due to security policies and architectural landscape,Add sandbox environment for tooling,Learn D3,Difficulty of making effective visualizations. Choices of what to leave in and what to leave out.,Basic data savvy course forr everyone,Step by step of making choices- not just technique,Dark Horse Analytics;Nathan Yau,Same,male,36 - 45,Europe,white,Private sector
2/27/17 16:35,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Analytics Director,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Contractor,,,,,,10,40,15,20,15,Excel;Tableau;D3,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Documents;Presentations;Email,Line Chart;Bar Chart;Choropleth Map;Raster Map,General Public;Medical Professionals,Intro,Monthly,Analysis;Summarization;Learning,Consultative,Distance from end user- lack of support,"No end user appetite for anything but vanilla-flavour charts (i.e. bar- line- pie). Choropleth considered ""exciting"".",Network of peers to bounce questions off,Easier to produce complex charts,Time and thought that's put into design. Good design looks intuitive- so people believe it naturally occurred like that.,More interaction with clients,Best/new ways to present data- exploration of tools,David McCandless,Much more,male,26 - 35,Europe,white,Private sector
3/8/17 10:38,3,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Data Visualization Engineer,Data Visualization Role has higher compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication;Marketing,Both,Business Intelligence Tools;General charting libraries;Completely custom,No,Research;IT,60,5,0,30,5,Illustrator;Excel;Tableau;D3;Highcharts;Other Javascript,I'm able to choose my own tools.,Dashboard;Scrollytelling;Static Web Page;Documents;Presentations;Dynamic web page,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Raster Map;Flow Diagram;Timeline;heatmap;dot matrix ,General Public;Analysts;Product Managers;Executives,Intro;Moderate,Hourly,Analysis;Summarization;Learning;Research,Consultative,Getting good data,I get pulled off to handle emergencies related to my other skill sets (UI code & UX design).,Easier access to the data that I need.,Allow me more time to implement solutions.,"Some people do understand the entire process. They think it's just- ""create a quick chart"". ",Easier access to the data I need.,Access to training- seminars and conferences.,David McCandless,Much more,female,46 - 55,USA or Canada,white,Public sector
2/28/17 4:12,4,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Information Management Trainer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,We are an IM NGO - all our consultants have some background in data visualization but its not too advanced,30,20,10,20,20,Illustrator;Excel;Power BI,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map;Raster Map;Flow Diagram,General Public;Analysts;Humanitarian Organizations,Moderate,Monthly,Decision making (hopefully),Consultative,People have no data science background- they design needs assessments without a proper data analysis and visualization plan. When the data is collected rare people know how to produce visualizations to help understand the situation and support decision making. ,Power BI is perfect but needs to step up its mapping game,Salary :) and more time/awareness/training on data visualization ,Improve quality ,,,How to visualize or even standardize visualization of information on humanitarian  needs ,David McCandless;Mike Bostock,Much more,male,26 - 35,MIddle East & Africa,,Not-for-profit
3/1/17 11:28,10,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Research Software Specialist,Data Visualization Role has higher compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Communication;Research,Both,Business Intelligence Tools;General charting libraries,No,Design;Research;IT,10,5,5,5,5,Illustrator;Excel;Tableau;ArcGIS,I'm able to choose my own tools.,Documents;Presentations,Line Chart;Bar Chart;Infographics;Treemap;Flow Diagram,General Public;Project Managers,Moderate,Yearly,Learning;Research,Collaborative,time management,lack of support,I'd do data viz 100,more of it,they don't ask deep questions,,novel ways to use out of the box tools,David McCandless;Nathan Yau,More,female,46 - 55,USA or Canada,white,Public sector
2/27/17 22:44,5,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Interactive News Developer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Both,ggplot2/Pandas Charts;Completely custom,No,Design,30,0,0,10,35,Illustrator;D3;Leaflet;Mapbox;ggplot;React,I'm able to choose my own tools.,Scrollytelling;Static Web Page,Line Chart;Bar Chart;Treemap;Choropleth Map;Raster Map,General Public;Myself,Intro,Weekly,Learning,Collaborative,The unknown,Annotation,,,,,Examples of real world impact,Derek Watkins;Mike Bostock;Tufte;Moritz Stefaner,More,male,26 - 35,USA or Canada,white,Private sector
2/27/17 22:18,4,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Data Visualizer,Data Visualization Role has Lower compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication;Exploration;Activism,Both,Business Intelligence Tools;Completely custom,Yes,Design;Data Explorer (data scientist; as preliminary data viz),42,5,5,43,5,Illustrator;Excel;Tableau;D3;Processing;Other Javascript,I'm able to choose my own tools.,Embedded in a tool;Presentations,Line Chart;Bar Chart;Infographics;Treemap;Network Diagram;Gantt chart + Ix js Map,General Public;Analysts;Engineers;Scientists;Product Managers;Project Managers;Executives,Intro;Moderate;Expert,Monthly,Entertainment;Analysis;Summarization;Learning;Research,Consultative,lack of projects that offer enough creative freedom,inefficiency of data viz Ux/Ix design tools from designer to developer,higher pay,more time to explore artistic expression in robust data viz,how truly considered my design approach is: cognitive aspects- graphic choices and white space- overall structure- level of drill down- the importance of maintaining the narrative throughout it all... I am completely earnest in this work because it is so important to do it well.,ultimately more creative ownership and acknowledgement on my projects,Where data visualization is currently situated with regard to its context and how we can support and promote further interdisciplinary data viz.,Dietmar Offenhuber;Alberto Cairo;Moritz Stefaner;NYT;MIT Urban Risk Lab,More,female,26 - 35,USA or Canada,white,Private sector
2/27/17 16:44,2,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Postdoctoral Researcher,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Communication,Embedded in another team,ggplot2/Pandas Charts;Completely custom,No,Research,10,10,10,5,10,Excel;Pandas;Other Python,I'm able to choose my own tools.,Documents;Presentations,Line Chart;Bar Chart;Dendrogram;3D Chart;VR/AR Charting,Scientists,Moderate;Expert,Monthly,Analysis;Research,Collaborative,,,,,,,"Deep dives into non-traditional viz roles.  Like ""How can we use dataviz to improve communication in industry X"".",DJ Patil;Micah Blake McCurdy;Nathan Yau,More,male,26 - 35,USA or Canada,white,Public sector
2/27/17 12:57,10,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Senior Software Engineer,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Marketing;Exploration,Both,Business Intelligence Tools;General charting libraries;Completely custom,No,Engineering,80,1,0,1,2,D3;React;zeppelin (nvd3),,Dashboard;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Heatmap,Engineers;Product Managers;Executives,Intro;Moderate;Expert,Daily,Analysis;Summarization;Learning,Consultative,Lack of authority to effect change,I have to do dataviz instead of UI/eng b/c there are so few viz resources,Make it easier for others to create viz,Make it easier for others to create viz,That they can do it too,Greater autonomy,,Tufte,Same,male,36 - 45,USA or Canada,white,Private sector
2/27/17 13:08,3,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Engineer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Both,Completely custom,Yes,Design;Engineering;Cartography,20,40,0,20,20,D3;Mapbox;WebGL,I'm able to choose my own tools.,Embedded in a tool;Maps,Raster Map;Vector Map,General Public,Intro,Hourly,Mapping,Consultative,Pay / Hrs worked,Reducing the data complexity in a way that makes it accessible to novice and untrained users.  Also Open Source is thankless.,Pay more / fewer hours,Wish I had more help,Good engineering is slow.  I might spend hours making tiny adjustments to CSS or D3 selectors to track down subtle bugs.  I don't think it's because I'm a bad developer- I think it's that I've reached the point where the bugs I spend time on require deep analysis.,To be involved early on in the decisions about how data is collected and organized.,More support for open source developers.,Tufte,Same,male,36 - 45,USA or Canada,white,Private sector
2/27/17 17:00,10,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Data Visualization Consultant,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Consultant,,,,,,40,10,20,10,20,D3;Leaflet;Pandas;Other Python,I'm able to choose my own tools.,depends on the project,Line Chart;Bar Chart,General Public;Analysts;Scientists;Product Managers,Intro;Moderate;Expert,Daily,Entertainment;Analysis;Summarization;Learning,Collaborative,too many meetings,undervalued work,fewer meetings,more iterative,seen as decorative,,more public examples of using data viz for actionable analysis of data,Tufte,Much more,,,,,Private sector
2/27/17 22:17,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Director of Strategic Planning,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,No,Research,5,,,,5,Excel;Tableau;ggplot,I'm able to choose my own tools.,Dashboard;Documents;Presentations,Line Chart;Bar Chart,General Public;Executives,Intro,Quarterly,Analysis;Summarization;Learning,Collaborative,Plenty to do- not much time,Limited access to powerful tools,Greater access to more powerful tools and how to use them.,Powers that be understand why it's important to invest in data visualization.,It takes plenty of time and effort to create truly effective data visualizations.,,,Tufte,Same,male,,USA or Canada,,Public sector
2/27/17 23:11,4,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Newsroom developer,Data Visualization Role has same compensation,Data visualization is the focus of my job,Data visualization is only part of my job,Contractor,,,,,,60,5,10,10,15,Excel;D3;Leaflet;Mapbox;WebGL;Highcharts;Other Javascript;Pandas;Other Python,I'm able to choose my own tools.,Static Web Page,Line Chart;Bar Chart;Treemap;Choropleth Map,General Public,Intro,Weekly,Entertainment;Summarization;Learning,Consultative,the public,,the readers,,,,,Tufte,Same,male,26 - 35,Europe,white,Public sector
2/28/17 0:48,5,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Analyst II,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools,Don't Know,business/data analysis roles,10,30,0,0,60,Excel;Tableau;Power BI,I'm able to choose my own tools.,Dashboard;Documents,Line Chart;Bar Chart;Pie Chart;Treemap;Flow Diagram,Engineers;Medical Professionals;Product Managers;Project Managers;Executives,Moderate,Daily,Analysis;Summarization;business measurement,Collaborative,Data exploration.  The data warehouse and IT is a blackbox,it's the last step and therefore gets the least amount of time.  most time is in data exploration.,data definitions,do more of it,time requirements,less data wrangling,,Tufte,More,male,36 - 45,Europe,white,Private sector
2/28/17 5:09,6,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,News Applications Developer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Separate data visualization team,Completely custom,No,Design;Engineering;Editorial,50,10,10,10,20,Illustrator;Excel;D3;Other Javascript;ggplot;Other R;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Static Web Page;Documents,Line Chart;Bar Chart;Infographics;Choropleth Map;Raster Map;Flow Diagram,General Public,Intro,Daily,Entertainment;Analysis;Summarization;Learning;Research,Collaborative,,,,,,,,Tufte,Same,male,26 - 35,USA or Canada,white,Public sector
2/28/17 7:19,7,Bachelors,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Data Analytics Lead,Data Visualization Role has same compensation,Data visualization is the focus of my job,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,IT,10,50,10,5,15,Tableau,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Presentations;Email,Line Chart;Bar Chart,Analysts;Product Managers;Project Managers;Executives,Intro;Moderate;Expert,Daily,Analysis;Summarization;Learning,Collaborative,I want to do advanced analysis but users need to buy in before it would be useful.,Not many users are aware of or use best practices.,A larger team to help instill best practices- additional training for business  users- and advanced analysis.,More time to spend on it and research other approaches and tools.,Good design is invisible and it takes a good amount of effort to strip out the unnecessary aspects.,More time in the day. A larger team.,Intro sessions to new tools with a step-by-step walk through. Break it down to be really basic and get me setup.,Tufte,Same,female,26 - 35,USA or Canada,white,Public sector
2/28/17 8:32,10,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Lead Developer ,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Contractor,,,,,,60,20,0,10,0,D3;Other Python;React;Marquee Charts,I'm able to choose my own tools.,Dashboard,Line Chart;Bar Chart,General Public;Analysts;Product Managers;Project Managers;Executives,Intro;Moderate;Expert,Hourly,Analysis;Summarization;Learning;Research,Collaborative,Js fatigue ,Cross browser support ,,,,,,Tufte,Much more,male,36 - 45,USA or Canada,,Private sector
2/28/17 9:27,9,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Senior Web Analyst,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Exploration,Embedded in another team,Business Intelligence Tools;Excel,No,Marketing,10,20,5,5,30,Excel;Tableau;ggplot,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Choropleth Map;3D Chart,Analysts;Product Managers,Expert,Weekly,Analysis;Summarization;Learning,Subordinate,Lack of communication between analyst and consumer of data,Lack of time to improve personal skills,More time to improve skills- more feedback from consumers,More time to improve skills,The intricacy- skill that is needed.  The need for DBAs to provide clean- useful data ,Improved DBA work/collaboration,Less on visualizing data- more on cleaning and munging data for useful visualization,Tufte,Less,male,36 - 45,USA or Canada,black,Private sector
2/28/17 9:32,7,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Scientist,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,Engineering,10,20,50,0,20,Tableau;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Documents;Presentations;Email,Line Chart;Bar Chart;Choropleth Map,Analysts;Executives,Moderate,Daily,Analysis;Summarization;Learning,Consultative,Data,Tools,Better source data,Better open source tools,Amount of effort,Better source data,Better documentation,Tufte,Same,male,26 - 35,USA or Canada,white,Private sector
2/28/17 12:59,8,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Lecturer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Other,Analysis;Communication;Exploration,Embedded in another team,ggplot2/Pandas Charts,No,Research,20,50,20,20,50,ggplot;Other R,I'm able to choose my own tools.,Documents;Presentations,Line Chart;Bar Chart;Dendrogram,Scientists,Moderate;Expert,Yearly,Analysis;Learning;Research,Collaborative,when package upgrades break code,complex figures,more package upgrades that break code,more complex figures,they are smart,Another set of eyes,Presenting data,Tufte,More,male,36 - 45,Europe,white,Public sector
3/1/17 11:26,2,PhD,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Scientist,Data Visualization Role has same compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,No,Engineering;IT,15,5,60,0,20,Tableau;Plotly;ggplot;Other R;Gephi,I'm able to choose my own tools.,Dashboard;Presentations,Line Chart;Bar Chart;Network Diagram,Engineers;Executives,Moderate;Expert,Weekly,Analysis,Collaborative,,,,,,,,Tufte,Same,male,26 - 35,Europe,,Public sector
